Forum Confirm (y/n),Mod Check (y/n),Timestamp,TankTrouble Username:,Signing up:,Policies,Select each half hour interval (UTC) on which you are available: [Sunday],Select each half hour interval (UTC) on which you are available: [Monday],Select each half hour interval (UTC) on which you are available: [Tuesday],Select each half hour interval (UTC) on which you are available: [Wednesday],Select each half hour interval (UTC) on which you are available: [Thursday],Select each half hour interval (UTC) on which you are available: [Friday],Select each half hour interval (UTC) on which you are available: [Saturday],Enter your timezone:,Enter your country:,Special Occasions:,Rank the servers based on your usual ping: [Atlanta],Rank the servers based on your usual ping: [Dallas],Rank the servers based on your usual ping: [Fremont],Rank the servers based on your usual ping: [London],Rank the servers based on your usual ping: [Newark],Rank the servers based on your usual ping: [Singapore],Rank the servers based on your usual ping: [Sydney]
y,y,8/12/2021 19:10:54,NelFusion,As a Player and Spectator,"I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I cannot leave a match for more than 10 total minutes., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag.","07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00",EEST,Estonia,N/A,100 - 150ms,150 - 200ms,150 - 200ms,0 - 50ms,100 - 150ms,200ms+,200ms+
y,y,8/12/2021 19:12:23,Renzore,As a Player only,"I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I am applying for the Classic gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC.","06:00, 06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30","05:30, 06:00, 06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30, 10:00","05:30, 06:00, 06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30, 10:00","05:30, 06:00, 06:30, 07:00, 07:30, 08:00, 08:30, 09:00, 09:30, 10:00","05:30, 06:00, 06:30, 07:00, 07:30, 08:00, 08:30","05:30, 06:00, 06:30, 07:00, 07:30, 08:00, 08:30, 09:00","08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 11:00, 11:30",GMT-4,USA,N/A,0 - 50ms,0 - 50ms,50 - 100ms,100 - 150ms,0 - 50ms,200ms+,200ms+
y,y,8/12/2021 19:13:29,SoulPanda,As a Player and Spectator,"I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC.","08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 12:00, 12:30","08:30, 09:00, 09:30","08:30, 09:00, 09:30","08:30, 09:00, 09:30","08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 12:00, 12:30","08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 12:00, 12:30","08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 12:00, 12:30",EDT,Canada,N/A,50 - 100ms,50 - 100ms,50 - 100ms,150 - 200ms,0 - 50ms,200ms+,200ms+
y,y,8/12/2021 19:14:11,SlimyWarParrot,As a Player and Spectator,"I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that I cannot leave a match for more than 10 total minutes., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match.","07:00, 07:30, 08:00, 08:30","07:00, 07:30, 08:00, 08:30","07:00, 07:30, 08:00, 08:30","07:00, 07:30, 08:00, 08:30","07:00, 07:30, 08:00, 08:30","07:00, 07:30, 08:00, 08:30","07:00, 07:30, 08:00, 08:30",Aest,Australia,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,50 - 100ms,0 - 50ms
y,y,8/12/2021 19:16:08,obitoBlade,As a Player and Spectator,"I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I am applying for the Target gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that any player watching my match can remove me from TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I am applying for the Classic gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that my opponent will organize our match time for us., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC.","04:00, 04:30, 05:00, 05:30, 06:00, 06:30","04:00, 04:30, 05:00, 05:30, 06:00, 06:30","04:00, 04:30, 05:00, 05:30, 06:00, 06:30","04:00, 04:30, 05:00, 05:30","04:00, 04:30, 05:00, 05:30, 06:00, 06:30","04:00, 04:30, 05:00, 05:30, 06:00, 06:30","04:00, 04:30, 05:00, 05:30, 06:00, 06:30",Eastern Daylight Time UTC-4,Canada,N/A,50 - 100ms,150 - 200ms,150 - 200ms,150 - 200ms,0 - 50ms,150 - 200ms,150 - 200ms
y,y,8/12/2021 19:22:21,VInus,As a Player only,"I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I cannot leave a match for more than 10 total minutes., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that I am applying for the Classic gamemode.","18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30",GMT +1,"Uk,England",N/A,100 - 150ms,150 - 200ms,150 - 200ms,0 - 50ms,50 - 100ms,200ms+,200ms+
y,n,8/12/2021 19:23:31,-Shadow,As a Player only,"I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I cannot leave a match for more than 10 total minutes., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that my opponent will organize our match time for us., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC.","18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00","12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00","12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00",GMT,United Kingdom/England,N/A,200ms+,200ms+,200ms+,50 - 100ms,150 - 200ms,200ms+,200ms+
y,y,8/12/2021 19:28:46,CannonClasher55,As a Player and Spectator,"I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that my opponent will organize our match time for us., I understand that I am applying for the Target gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Classic gamemode.","01:30, 02:00, 02:30","00:00, 00:30, 01:00, 01:30, 02:00, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 23:30","23:00, 23:30","01:30, 02:00, 02:30","23:00, 23:30","01:30, 02:00, 02:30",AEST,Australia,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,100 - 150ms,0 - 50ms
y,y,8/12/2021 19:30:45,Amplitude,As a Player only,"I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that I cannot leave a match for more than 10 total minutes., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them.","02:00, 02:30, 03:00, 03:30, 04:00, 14:30, 15:00, 15:30","02:00, 02:30, 03:00, 03:30, 04:00, 14:30, 15:00, 15:30","02:00, 02:30, 03:00, 03:30, 04:00, 14:30, 15:00, 15:30","02:00, 02:30, 03:00, 03:30, 04:00, 14:30, 15:00, 15:30","02:00, 02:30, 03:00, 03:30, 04:00, 14:30, 15:00, 15:30","02:00, 02:30, 03:00, 03:30, 04:00, 14:30, 15:00, 15:30","02:00, 02:30, 03:00, 03:30, 04:00, 14:30, 15:00, 15:30",EDT,USA,N/A,50 - 100ms,50 - 100ms,100 - 150ms,150 - 200ms,0 - 50ms,200ms+,200ms+
y,y,8/12/2021 19:37:10,Cicada3301,As a Player only,"I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that my opponent will organize our match time for us., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that any player watching my match can remove me from TTOC., I understand that I am applying for the Target gamemode., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that I am applying for the Classic gamemode.","00:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 23:00, 23:30","00:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 23:00, 23:30","00:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 23:00, 23:30","00:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 23:00, 23:30","00:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 23:00, 23:30","00:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 23:00, 23:30","00:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 23:00, 23:30",GMT +8,Russia,N/A,200ms+,200ms+,200ms+,100 - 150ms,150 - 200ms,200ms+,200ms+
